EQUIP_ID,EQUIP_DESCN,EQUIP_PARENT
90101,Platforms & Walkways - Intake,0901-160-010
90108,Guarding - Intake,0901-160-010
90113,Drag Chain Conveyor #1 - Despatch,0901-160-111
90114,Drag Chain Conveyor #2 - Despatch,0901-160-111
90115,Platforms & Walkways - Despatch,0901-160-111
90116,MCC - Bulk Material Despatch,0901-160-310
90117,Bucket Elevator - Despatch 1,0901-160-111
90118,Incline Conveyor - Despatch 1                                              ,0901-160-111
90120,Shuttle Conveyor - Despatch 1,0901-160-111
90124,Transfer Conveyor - Despatch 2,0901-160-112
90127,Hammer Mill ,0901-160-111
90128,Guarding - Despatch,0901-160-111
90129,MJZ801 Vibrating Screen - Despatch 1,0901-160-111
90131,Despatch Hopper 1,0901-160-111
90132,Despatch Hopper 2,0901-160-111
90146,Bulk Store - Concrete Dividing Walls,0901-160-430
90147,Building - External Cladding - Bulk,0901-160-430
90148,Building - External Cladding - Bagging,0901-160-430
90149,Building - External Cladding - Office,0901-160-430
90150,Intake Pit,0901-160-010
90151,Platforms & Walkways - Despatch 2,0901-160-112
90152,Air Compressor - VITECH  - Ash Air,0901-160-300
90153,MCC - Bulk Material Intake ,0901-160-310
90155,Stormwater Pond,0901-160-350
90156,Roller Door - Intake Entry,0901-160-430
90157,Roller Door - Intake Exit,0901-160-430
90158,Roller Door - Despatch Entry,0901-160-430
90159,Roller Door - Despatch Exit,0901-160-430
90160,Roller Door - Bag Store,0901-160-430
90161,Roller Door - Big,0901-160-430
90162,Roller Door - Despatch 2 Entry,0901-160-430
90163,Roller Door - Despatch 2 Exit,0901-160-430
90164,Hammer Mill  and Chute - Despatch 2,0901-160-112
90165,Vibrating Screen - Despatch 2,0901-160-112
101001,1200kg Jacky bin,1010-160-100
101002,Drag Chain Conveyor #1 - Despatch,1010-160-111
101003,Platforms & Walkways - Despatch,1010-160-111
101005,Loadout Conveyor - Despatch,1010-160-111
101006,Lump Breaker,1010-160-111
101007,Elec System - Bucket Elevator,1010-160-111
101008,Elec System - Blender Conveyor #1,1010-160-111
101009,Elec System - Reciprocating Screen,1010-160-111
101010,Elec System - Flail Mill,1010-160-111
101011,Weighing Control Panels - Despatch,1010-160-111
101012,Despatch - Distribution - Control,1010-160-111
101013,Guarding - Despatch,1010-160-111
101014,Oversize/Return Chute,1010-160-111
101015,Loadout chute,1010-160-111
101016,Dust cone,1010-160-111
101018,#1 - Hopper,1010-160-111
101019,#1 - Hopper Weighing Equipment,1010-160-111
101020,Compressor - Campbell Hausfeld,1010-160-300
101021,Main Distribution Board,1010-160-310
101022,Storm Water - Piping,1010-160-350
101023,Potable Water Pump,1010-160-350
101024,Stormwater Tank,1010-160-350
101025,Potable Water Tank,1010-160-350
101026,Waste Water System Piping,1010-160-360
101027,Office - Effluent,1010-160-360
101028,Grassed Area,1010-160-370
101030,Main Gate - Site,1010-160-370
101032,Elec System -  Bulk Storage,1010-160-430
101033,Roller Door #1 - Bulk Store,1010-160-430
101034,Roller Door #2 - Bulk Store,1010-160-430
101035,Bulk Store - Concrete Dividing Walls,1010-160-430
101036,Building - External Cladding - Bulk,1010-160-430
101037,Building - External Cladding - Office,1010-160-430
101038,Roller Door #1 - Despatch Entry,1010-160-430
101039,Roller Door #2 - Despatch Exit ,1010-160-430
101040,Building - Office,1010-160-430
101041,Elec System -  Main Office,1010-160-430
101042,20' containers (bag storage),1010-160-430
101044,Elec System - Bulk Store,1010-160-430
101045,Elec System - Bag Store,1010-160-430
101046,Fire Alarm Bag Store,1010-160-430
101047,Fire Alarm Bulk Store,1010-160-430
101048,Elec- Roller Door #1 Despatch Entry,1010-160-430
101049,Elec - Roller Door #2 Despatch Exit,1010-160-430
101050,Pallet stacker,1010-160-430
101053,Plant Safety - Despatch,1010-160-450
101054,Emergency Exit Lighting,1010-160-450
101055,Fire Fighting Equipment,1010-160-450
101101,Drag Chain Hopper 1 - Mac chain WD110,1011-160-111
101102,Drag Chain Hopper 2 - Heko Chain,1011-160-111
101103,Platforms & Walkways - Despatch,1011-160-111
101105,Elevator to Silo,1011-160-111
101106,Lump breaker,1011-160-111
101107,Guarding - Despatch,1011-160-111
101108,Bagging Chute,1011-160-111
101109,Static Screen,1011-160-111
101110,#1 - Hopper,1011-160-111
101111,#2 - Hopper,1011-160-111
101114,Silo - exterior ,1011-160-111
101116,Compressor - HLCA 10500,1011-160-300
101119,Roller Door #1 - Bag Store,1011-160-430
101120,Roller Door #2 - Bag Store,1011-160-430
101121,Roller Door #3 - Bag Store,1011-160-430
101122,Roller Door #4 - Bag Store,1011-160-430
101123,Roller Door #5 - Bag Store,1011-160-430
101124,Roller Door #1 - Bulk Store Entry,1011-160-430
101125,Roller Door #2 - Bulk Store Exit,1011-160-430
101126,Roller Door - Despatch Entry,1011-160-430
101127,Roller Door - Despatch Exit,1011-160-430
101132,Elec System -  Main Office,1011-160-430
101133,Elec System - Bulk Store,1011-160-430
101134,Elec System - Bag Store,1011-160-430
101140,MCC - Bulk Material Intake & Despatch,1011-160-310
101141,Main Distribution Board,1011-160-310
101142,Building - External Cladding - Bulk,1011-160-430
101143,Building - External Cladding - Bagging,1011-160-430
101144,Building - External Cladding - Office,1011-160-430
101150,Dust cone,1011-160-111
101151,Rain Gardens,1011-160-370
101201,Electrical Equipment,1012-160-020
101202,Portable Bagging Hopper,1012-160-100
101203,1200kg Jacky bin,1012-160-100
101204,Bagging Hopper (fixed),1012-160-100
101205,Drag Chain Conveyor #1 - Despatch,1012-160-111
101206,Drag Chain Conveyor #2 - Despatch,1012-160-111
101207,Drag Chain Conveyor #3 - Despatch,1012-160-111
101208,Platforms & Walkways - Despatch,1012-160-111
101209,Bucket Elevator - Despatch,1012-160-111
101210,Incline Conveyor - Despatch,1012-160-111
101211,Lump breaker - Despatch,1012-160-111
101212,Elec System - Blender Conveyor #1,1012-160-111
101213,Elec System - Blender Conveyor #2,1012-160-111
101214,Elec System - Blender Conveyor #3,1012-160-111
101215,Elec System - Bucket Elevator,1012-160-111
101216,Elec System - Reciprocating Screen,1012-160-111
101217,Elec System - Lump breaker,1012-160-111
101218,Elec System - Incline Conveyor,1012-160-111
101219,Sulphur Hopper,1012-160-111
101220,Guarding - Despatch,1012-160-111
101221,Recirc Belt,1012-160-111
101222,Return chute - Despatch,1012-160-111
101223,Hopper #3 Guarding,1012-160-111
101224,Loadout Belt,1012-160-111
101225,Loadout chute,1012-160-111
101226,Dust cone,1012-160-111
101227,Reciprocating Screen,1012-160-111
101228,#1 - Hopper,1012-160-111
101229,#2 - Hopper,1012-160-111
101230,#3 - Hopper,1012-160-111
101231,#1 - Hopper Weighing Equipment,1012-160-111
101232,#2 - Hopper Weighing Equipment,1012-160-111
101233,#3 - Hopper Weighing Equipment,1012-160-300
101234,Compressor - precision air,1012-160-300
101235,Main Distribution Board,1012-160-310
101236,Storm Water - Piping,1012-160-350
101237,Stormwater Pond,1012-160-350
101238,Potable Water Pump,1012-160-350
101239,Potable Water Tank,1012-160-350
101240,Boundry - Fencing,1012-160-370
101241,Main Gate - Site,1012-160-370
101242,Roading,1012-160-370
101243,Rapid Door #1 Despatch Entry,1012-160-430
101244,Rapid Door #2 Despatch Exit ,1012-160-430
101245,Roller Door #1 - Bulk Store,1012-160-430
101246,Roller Door #2 - Bulk Store,1012-160-430
101247,Roller Door #3 - Bulk Store,1012-160-430
101248,Roller Door #1- Bag Store,1012-160-430
101249,Roller Door #2 - Bag Store,1012-160-430
101250,Roller Door #3 - Bag Store ,1012-160-430
101251,Roller Door #4 - Bag Store ,1012-160-430
101252,Bulk Store - Concrete Dividing Walls,1012-160-430
101253,Building - External Cladding - Bulk,1012-160-430
101254,Building - External Cladding - Office,1012-160-430
101256,Building Bulk Store,1012-160-430
101257,20' containers ,1012-160-430
101258,Elec -Rapid Door #1Despatch Entry ,1012-160-430
101259,Elec - Rapid Door #2 Despatch Exit ,1012-160-430
101260,Elec - RollerDoor #1 - BulkStore,1012-160-430
101261,Elec - Roller Door #1 - Bag Store ,1012-160-430
101262,Elec - Roller Door #2 - Bag Store ,1012-160-430
101263,Elec - Roller Door #3 - Bag Store ,1012-160-430
101264,Elec - Roller Door #4 - Bag Store,1012-160-430
101265,Elec - RollerDoor #2 - BulkStore,1012-160-430
101266,Elec - Roller Door #3 - Bulk Store,1012-160-430
101270,Emergency Exit Lighting,1012-160-450
101271,Fire Fighting Equipment,1012-160-450
101301,Platforms & Walkways - Intake,1013-160-010
101302,Shuttle Rails - Intake,1013-160-010
101303,Shuttle Conveyor,1013-160-010
101304,Incline Conveyor,1013-160-010
101305,Cross Conveyor,1013-160-010
101306,Intake Conveyor,1013-160-010
101307,Elec System - Intake Conveyor,1013-160-010
101308,Elec System - Cross Conveyor,1013-160-010
101309,Elec System - Shuttle Conveyor,1013-160-010
101310,Truck Lane Control  Bulk Material Intake,1013-160-010
101311,Intake - Distribution - Control,1013-160-010
101312,Guarding - Intake,1013-160-010
101313,Intake Pit,1013-160-010
101314,Hopper - intake,1013-160-010
101315,Bagging Hopper,1013-160-100
101316,Bagging Chute,1013-160-100
101317,Bagging Shaker,1013-160-100
101318,Drag Chain Conveyor #1 - Despatch,1013-160-111
101319,Drag Chain Conveyor #2 - Despatch,1013-160-111
101320,Platforms & Walkways - Despatch,1013-160-111
101321,Bucket Elevator - Despatch,1013-160-111
101322,Incline Conveyor - Despatch,1013-160-111
101323,Truck lane 1 conveyor,1013-160-111
101324,Truck lane 2 conveyor,1013-160-111
101325,Recirculation belt,1013-160-111
101326,Lump Breaker,1013-160-111
101327,Elec System - Blender Conveyor #1,1013-160-111
101328,Elec System - Blender Conveyor #2,1013-160-111
101329,Elec System - Bucket Elevator,1013-160-111
101330,Elec System - Reciprocating Screen,1013-160-111
101331,Elec System - Lump Breaker,1013-160-111
101332,Elec System - Incline Conveyor,1013-160-111
101333,Elec System - Shuttle Conveyor,1013-160-111
101334,Weighing Control Panels - Despatch,1013-160-111
101335,Truck Lane Control - Despatch,1013-160-111
101336,Despatch - Distribution - Control,1013-160-111
101337,Guarding - Despatch,1013-160-111
101338,Diverter / Recirc chute - Despatch,1013-160-111
101339,Mobile stair platform,1013-160-111
101340,Loadout chute,1013-160-111
101341,Dust cone,1013-160-111
101342,Sulphur Hopper,1013-160-111
101343,Reciprocating Screen 1,1013-160-111
101344,Reciprocating Screen 2,1013-160-111
101345,#1 - Hopper,1013-160-111
101346,#2 - Hopper,1013-160-111
101347,#1 - Hopper Weighing Equipment,1013-160-111
101348,#2 - Hopper Weighing Equipment,1013-160-111
101349,Compressor - ALUP,1013-160-300
101350,Compressor - Ceccato,1013-160-300
101351,MCC - Bulk Material Intake & Despatch,1013-160-310
101352,Main Distribution Board,1013-160-310
101353,Storm Water - Piping,1013-160-350
101354,Stormwater Sumps,1013-160-350
101355,Potable Water Pump,1013-160-350
101356,Waste Water Tank level monitoring,1013-160-360
101357,Waste Water Pump #1,1013-160-360
101358,Waste Water Tank #1,1013-160-360
101359,Boundry - Fencing,1013-160-370
101360,Main Gate - Site,1013-160-370
101361,Roading,1013-160-370
101362,Elec System -  Bulk Storage,1013-160-430
101363,Roller Door #1 - Bulk Store,1013-160-430
101364,Roller Door #2 - Bulk Store,1013-160-430
101365,Roller Door #3 - Bulk Store,1013-160-430
101366,Roller Door #4 - Bulk Store,1013-160-430
101367,Roller Door #5 - Bulk Store,1013-160-430
101368,Roller Door #6 - Bulk Store,1013-160-430
101369,Roller Door #7 - Bulk Store,1013-160-430
101370,Roller Door #1 - Bag Store,1013-160-430
101371,Roller Door #2 - Bag Store,1013-160-430
101372,Roller Door #3 - Bag Store,1013-160-430
101373,Bulk Store - Concrete Dividing Walls,1013-160-430
101374,Building - External Cladding - Bulk,1013-160-430
101375,Building - External Cladding - Office,1013-160-430
101376,Building Office,1013-160-430
101377,Building Bag Store,1013-160-430
101378,Weighbridge,1013-160-430
101379,Elec System - Bulk Store,1013-160-430
101380,Elec System - Bag Store,1013-160-430
101381,Emergency_Exit Lighting,1013-160-450
101382,Fire Fighting Equipment,1013-160-450
101460,Rain Gardens x4,1014-160-370
101461,Bulk Store - Concrete Dividing Walls,1014-160-430
101501,Drag Chain Conveyor #1 Hopper - Despatch,1015-160-111
101502,Drag Chain Conveyor #2 Hopper - Despatch,1015-160-111
101503,Platforms & Walkways - Despatch,1015-160-111
101504,Bucket Elevator - Despatch,1015-160-111
101505,Transfer Conveyor - Despatch,1015-160-111
101506,Hammer Mill - Despatch,1015-160-111
101507,Elec System - Blender Conveyor #1,1015-160-111
101508,Elec System - Blender Conveyor #2,1015-160-111
101510,Elec System - Vibrating Screen,1015-160-111
101511,Elec System - Hammer Mill,1015-160-111
101512,Elec System - Transfer Conveyor,1015-160-111
101513,Despatch - Distribution - Control,1015-160-111
101514,Guarding - Despatch,1015-160-111
101515,Vibrating Screen,1015-160-111
101516,Blender Hopper #1,1015-160-111
101517,Blender Hopper #2,1015-160-111
101518,Main Distribution Board,1015-160-310
101519,Bulk Store - Concrete Dividing Walls,1015-160-430
101520,Building - External Cladding - Bulk Store,1015-160-430
101521,Building - External Cladding - Office,1015-160-430
101522,Building - External Cladding - Bag Store,1015-160-430
101523,Building - External Cladding - Intake Building,1015-160-430
101524,Emergency Exit Lighting,1015-160-450
101525,Dust cone,1015-160-111
101527,Compressor - Despatch,1015-160-300
101528,Grassed Area,1015-160-370
101529,Despatch Entry Gate,1015-160-430
101530,Despatch Exit Gate,1015-160-430
101531,Despatch Exit Roller Door,1015-160-430
101532,Bulk Store Entry Roller Door,1015-160-430
101533,Bag Store Roller Door #1,1015-160-430
101534,Bag Store Roller Door #2,1015-160-430
101535,Bag Store Roller Door #3,1015-160-430
101536,Intake Building Entry Gate,1015-160-430
101538,Platforms & Walkways - Intake,1015-160-010
101539,Guarding - Intake,1015-160-010
101540,Intake Pit,1015-160-010
101541,Elec System -  Main Office,1015-160-430
101542,Elec System - Bulk Store,1015-160-430
101543,Elec System - Bag Store,1015-160-430
101544,MCC - Bulk Material Intake,1015-160-310
101545,MCC - Bulk Material Despatch,1015-160-310
101601,Platforms & Walkways - Intake,1016-160-010
101602,Shuttle Rails - Intake,1016-160-010
101603,Elec System - Intake Conveyor,1016-160-010
101604,Elec System - Shuttle Conveyor,1016-160-010
101605,Intake - Distribution - Control,1016-160-010
101606,Shuttle Winch - Intake,1016-160-010
101607,Guarding - Intake,1016-160-010
101608,Intake Pit,1016-160-010
101609,Drag Chain Conveyor #1 - Despatch,1016-160-111
101610,Drag Chain Conveyor #2 - Despatch,1016-160-111
101611,Platforms & Walkways - Despatch,1016-160-111
101613,Elec System - Blender Conveyor #1,1016-160-111
101614,Despatch - Distribution - Control,1016-160-111
101615,Guarding - Despatch,1016-160-111
101616,Reciprocating Screen,1016-160-111
101617,#1 - Hopper Weighing Equipment,1016-160-111
101618,#2 - Hopper Weighing Equipment,1016-160-111
101619,MCC - Bulk Material Intake & Despatch,1016-160-310
101621,HVac - MCC Switch Room,1016-160-310
101622,Main Distribution Board,1016-160-310
101623,Portable Water System,1016-160-350
101626,Office - Effluent,1016-160-360
101628,Grassed Area,1016-160-370
101629,Internal - Fencing,1016-160-370
101630,Main Gate - Site,1016-160-370
101631,Elec System -  Bulk Storage,1016-160-430
101632,Roller Door #1 Bulk Store East - D09,1016-160-430
101633,Roller Door #1 - Bag Store - D18,1016-160-430
101634,Roller Door #2 - Bag Store - D17,1016-160-430
101635,Roller Door #3 - Bag Store - D16,1016-160-430
101636,Roller Door #4 - Bag Store - D17,1016-160-430
101637,Roller Door #5 - Bag Store - D18,1016-160-430
101638,Roller Door #6 - Bag Store - D15,1016-160-430
101639,Roller Door #2 Bulk Store North - D03,1016-160-430
101640,Bulk Store - Barrier,1016-160-430
101641,Building - External Cladding - Bulk/Bag,1016-160-430
101642,Building - External Cladding - Office,1016-160-430
101644,Elec System -  Main Office,1016-160-430
101646,Elec System - Bulk Store,1016-160-430
101647,Elec System - Bag Store,1016-160-430
